,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate,result
2334,0.4656,0.4825,0.3758241758241758,0.45921052631578946,0.49429015655157627,0.5123,0.5636672325976231,0.5074331020812686,0.37241556912662793,0.5306000000000001,0.6119,0.4541666666666666,0.4930182599355532,0.5438300231878214,0.47759999999999997,0.44299999999999995,0.4277108433734939,0.47167868177136973,0.49672044432689766,0.5054,0.5356000000000001,0.5057471264367815,0.49552572706935116,1.0
2335,0.529,0.3857,0.5593952483801296,0.5156054931335831,0.4980805358163849,0.5239,0.49418604651162784,0.49173955296404276,0.577630534561894,0.4708,0.3834,0.40842105263157896,0.4768568353067814,0.5355773552976018,0.5339,0.5159,0.5234375,0.5152439024390244,0.5180284309817988,0.4786,0.4706,0.502016129032258,0.5150501672240803,1.0
2336,0.5089,0.6537000000000001,0.5906040268456375,0.5122767857142857,0.42586700604517974,0.46630000000000005,0.4527687296416938,0.505524861878453,0.5559428811423771,0.5138,0.36119999999999997,0.5030549898167006,0.48920863309352514,0.49236314485244426,0.4987,0.5451,0.5246913580246914,0.5104895104895105,0.4609044801352494,0.4943,0.46630000000000005,0.43110236220472437,0.48462354188759277,0.0
2337,0.5052000000000001,0.39649999999999996,0.4765432098765432,0.5252525252525253,0.5788898003828274,0.4803,0.4903846153846154,0.5032740879326473,0.47610827775598275,0.5143,0.7044,0.5384615384615385,0.5291214215202369,0.5559302673447741,0.5001,0.48450000000000004,0.5286259541984732,0.505307855626327,0.5343905280426048,0.502,0.6032,0.5009242144177449,0.4660493827160494,1.0
2338,0.5109,0.5351,0.5328798185941043,0.5128518971848226,0.5359347442680776,0.5181,0.5324947589098533,0.4919678714859438,0.5079842083554299,0.5011,0.5046,0.5236139630390144,0.49206349206349204,0.5334440913030916,0.5173,0.508,0.563953488372093,0.5125523012552301,0.530874724650039,0.47140000000000004,0.5355,0.4966887417218543,0.45602605863192186,0.0
2339,0.4872,0.4647,0.5510752688172043,0.5435056746532155,0.5706271072151046,0.4173,0.4577603143418468,0.49433573635427397,0.4995779768861187,0.5164,0.348,0.532588454376164,0.5018903591682419,0.4979596495733813,0.5162,0.4225,0.4971209213051823,0.49583333333333335,0.5454849418451911,0.4811,0.42729999999999996,0.6096096096096095,0.519828510182208,1.0
2340,0.5108,0.5492,0.5607235142118863,0.5189048239895698,0.50003864883667,0.5111,0.5555555555555556,0.5334665334665335,0.5335344773398705,0.4891,0.40270000000000006,0.4842300556586271,0.4801670146137787,0.4916688770466109,0.5127,0.45909999999999995,0.49710982658959546,0.4917184265010352,0.46838969279579046,0.45020000000000004,0.5042,0.48363636363636364,0.4884210526315789,0.0
2341,0.5092,0.4292,0.44364508393285373,0.47636815920398,0.4643638871398159,0.5337,0.5472312703583062,0.49447513812154703,0.44405711885762283,0.48619999999999997,0.6388,0.49694501018329934,0.5107913669064748,0.5076368551475557,0.5023,0.44909999999999994,0.5317919075144508,0.5005015045135407,0.557484409987239,0.4867,0.528,0.48226950354609927,0.46743697478991597,0.0
2342,0.5128,0.5353,0.4489247311827957,0.45649432534678436,0.4293728927848955,0.4975,0.4925690021231422,0.5078206465067779,0.5083938221468999,0.5267000000000001,0.5436,0.5354969574036512,0.49686847599164924,0.4453919491525424,0.4949,0.4165,0.47244094488188976,0.4742376445846478,0.48815110550769303,0.5372,0.4803,0.5825771324863884,0.5663716814159292,0.0
2343,0.44,0.4083,0.48780487804878053,0.5075757575757576,0.46284753653174704,0.489,0.530214424951267,0.479890310786106,0.349411951684679,0.4816,0.4852,0.41273584905660377,0.48366013071895425,0.47986828319113906,0.5127,0.45909999999999995,0.49710982658959546,0.4917184265010352,0.46838969279579046,0.5245000000000001,0.6481,0.6455525606469003,0.5267260579064588,0.0
2344,0.5377000000000001,0.523,0.465564738292011,0.4924965893587994,0.5379163515141329,0.4958,0.5196078431372549,0.5173439048562933,0.5058553971486762,0.503,0.5167,0.4339622641509434,0.503099173553719,0.5088413156081754,0.5013000000000001,0.4549,0.4753086419753087,0.48951048951048953,0.5390955198647507,0.5333,0.5786,0.5519591141396933,0.5643243243243243,0.0
2345,0.48990000000000006,0.5315,0.4723618090452261,0.48253557567917205,0.5328732292045042,0.49210000000000004,0.4625850340136054,0.47074010327022375,0.5384930720669017,0.5285,0.2707,0.48134991119005327,0.48494288681204567,0.4264121353054106,0.4827,0.49200000000000005,0.436046511627907,0.4874476987447699,0.4691252753499609,0.4464,0.5987,0.41965973534971646,0.44793926247288507,0.0
2346,0.4941,0.40509999999999996,0.5238095238095237,0.4842370744010088,0.4669576748812023,0.5114,0.503006012024048,0.49950149551345957,0.5322401152134066,0.515,0.5075999999999999,0.5140350877192983,0.48733535967578523,0.4087488934789023,0.48380000000000006,0.5775,0.5028790786948176,0.5041666666666667,0.4545150581548088,0.5401,0.48590000000000005,0.48722986247544203,0.5074309978768577,0.0
2347,0.4989,0.48469999999999996,0.5517241379310345,0.5251612903225806,0.4858249032096915,0.629,0.6046099290780141,0.5128449096098954,0.44851501305483027,0.5,0.7004,0.4616935483870968,0.48488120950323976,0.48137451373334905,0.4661,0.4841,0.4765625,0.4847560975609756,0.48197156901820115,0.4839,0.4429,0.44699646643109536,0.375,1.0
2348,0.48360000000000003,0.37439999999999996,0.4391408114558472,0.4975903614457831,0.5525954562008012,0.5197,0.5096153846153847,0.49672591206735267,0.5238917222440173,0.4928,0.8054000000000001,0.5180265654648957,0.5121436114044351,0.59672342829473,0.5291,0.5162,0.47764227642276424,0.4974924774322969,0.5301900905315828,0.4922,0.4913,0.4557522123893806,0.4829317269076306,1.0
2349,0.45310000000000006,0.2597,0.451530612244898,0.447953216374269,0.46491848024760557,0.47750000000000004,0.49504950495049505,0.4980276134122288,0.43651980387383943,0.4773,0.5075,0.5023474178403756,0.48220436280137774,0.41186990052531575,0.47759999999999997,0.44299999999999995,0.4277108433734939,0.47167868177136973,0.49672044432689766,0.498,0.3968,0.4990757855822551,0.5339506172839507,1.0
