,summoner_a,summoner_b,position,win_rate,lane_kill_rate,kda,kill_participate,damage
2351,悠咪,索拉卡,4,0.49670000000000003,0.6972,0.6383265856950068,0.6013245033112583,
2352,悠咪,維迦,4,0.533,0.5947,0.670261941448382,0.5091103965702036,
2353,悠咪,艾希,4,0.6237,0.7222,0.7809139784946236,0.5717488789237668,
2354,悠咪,茂凱,4,0.4829,0.5874,0.6397058823529411,0.5240083507306889,
2355,悠咪,薩科,4,0.521,0.6336999999999999,0.6115702479338844,0.5047923322683706,
2356,悠咪,藍寶,4,0.6667000000000001,0.6622,0.7513297872340425,0.5593869731800766,
2357,悠咪,貪啃奇,4,0.5929,0.6215999999999999,0.7166042446941324,0.5372960372960373,
2358,悠咪,費德提克,4,0.5625,0.5321,0.6789940828402367,0.510351966873706,
2359,悠咪,賽勒斯,4,0.5556,0.6543000000000001,0.7240398293029873,0.5602766798418972,
2360,悠咪,賽特,4,0.5363,0.47119999999999995,0.6775147928994083,0.5214659685863874,
2361,悠咪,鄂爾,4,0.6429,0.6667000000000001,0.6983894582723279,0.5373993095512083,
2362,悠咪,銳空,4,0.48009999999999997,0.5324,0.5697050938337802,0.5227537922987164,
2363,悠咪,雷歐娜,4,0.47130000000000005,0.41369999999999996,0.5970149253731343,0.5134831460674157,
2364,悠咪,露璐,4,0.48840000000000006,0.5507,0.5883940620782726,0.5221962616822431,
2365,悠咪,魔甘娜,4,0.5373,0.5943,0.6404011461318052,0.5130718954248366,
2366,悠咪,齊勒斯,4,0.5511,0.5834,0.6638297872340425,0.5068349106203996,
2367,慎,亞歷斯塔,4,0.4225,0.45549999999999996,0.47627118644067795,0.5238600212089077,
2368,慎,伊瑞莉雅,0,0.5553,0.3194,0.6281512605042018,0.535832414553473,0.44848871860366113
2369,慎,伊羅旖,0,0.506,0.4213,0.6805845511482255,0.5767326732673267,0.3900660682793293
2370,慎,克雷德,0,0.5938,0.35969999999999996,0.5952813067150635,0.5207667731629393,0.4889787153413756
2371,慎,凱爾,0,0.4833,0.5652,0.625,0.5421245421245421,0.3917071018967799
2372,慎,凱能,0,0.6038,0.46509999999999996,0.6250000000000001,0.5190424374319913,0.3804112554112554
2373,慎,剛普朗克,0,0.5195000000000001,0.43119999999999997,0.5623901581722319,0.5098468271334792,0.3770970094821298
2374,慎,卡瑪,4,0.48,0.46149999999999997,0.4981481481481481,0.48745910577971646,
2375,慎,卡蜜兒,0,0.5414,0.5492,0.6131528046421664,0.5466520307354555,0.4609334980564679
2376,慎,厄薩斯,0,0.48979999999999996,0.37549999999999994,0.5611222444889779,0.5323325635103927,0.43495300205137627
2377,慎,吶兒,0,0.6167,0.29309999999999997,0.5980769230769232,0.5146898803046789,0.4193367557679825
2378,慎,墨菲特,0,0.5025000000000001,0.4768,0.5454545454545455,0.5264341957255343,0.4613208153816475
2379,慎,姍娜,4,0.5417000000000001,0.629,0.5291005291005291,0.47465886939571156,
2380,慎,巴德,4,0.5,0.5965,0.4863481228668943,0.49081632653061225,
2381,慎,布里茨,4,0.4907,0.43799999999999994,0.5174311926605505,0.5411522633744856,
2382,慎,弗力貝爾,0,0.528,0.3418,0.5477582846003899,0.5121693121693122,0.4847611968035681
2383,慎,弗拉迪米爾,0,0.49450000000000005,0.534,0.599616858237548,0.5411764705882353,0.40973334069452877
2384,慎,悟空,0,0.4706,0.4722,0.5585412667946258,0.5224839400428265,0.4536182318937078
2385,慎,悠咪,4,0.48360000000000003,0.4755,0.3559322033898305,0.5128733264675592,
2386,慎,慨影,0,0.4645,0.5146000000000001,0.5745526838966203,0.5300668151447661,0.4803249696031834
2387,慎,慨影,1,0.3448,,0.4722753346080306,0.4767556874381801,0.3680673537962019
2388,慎,拉克絲,4,0.5149,0.5764,0.537521815008726,0.5030425963488844,
2389,慎,提摩,0,0.47509999999999997,0.47259999999999996,0.6555772994129159,0.5673316708229427,0.3268166190781423
2390,慎,斯溫,4,0.5424,0.5508449155084492,0.6006825938566553,0.48041237113402063,
2391,慎,札克,0,0.4404,0.4,0.472663139329806,0.5227765726681128,0.5154084912980823
2392,慎,李星,1,0.4264,,0.47469458987783597,0.48715509039010474,0.44288890718932716
2393,慎,杰西,0,0.4979,0.48,0.5984555984555985,0.5127931769722814,0.38036634230108757
2394,慎,極靈,4,0.4658,0.5263,0.4829443447037702,0.5191675794085433,
2395,慎,汎,0,0.5115999999999999,0.3515,0.6511111111111112,0.5509202453987729,0.32946986494658337
2396,慎,波比,0,0.4882,0.4103,0.5436893203883495,0.528604118993135,0.44336159568593053
2397,慎,泰達米爾,0,0.402,0.425,0.5883620689655172,0.5572609208972845,0.4675606276747504
2398,慎,派克,4,0.47130000000000005,0.4107,0.5209125475285171,0.5089108910891089,
2399,慎,潘森,0,0.6275000000000001,0.3488,0.6171079429735233,0.5087900723888314,0.4555592593714961
2400,慎,烏爾加特,0,0.6351,0.4105,0.6187624750499002,0.5241460541813898,0.4286655249637729
2401,慎,犽宿,0,0.5714,0.4507,0.716566866267465,0.5537190082644629,0.4641883603652719
