,summoner_a,summoner_b,position,win_rate,lane_kill_rate,kda,kill_participate,damage
0,亞菲利歐,伊澤瑞爾,3,0.483,0.48710000000000003,0.4320754716981132,0.4881565396498455,0.4700310380503506
1,亞菲利歐,克黎思妲,3,0.5418000000000001,0.46869999999999995,0.4969574036511157,0.4910714285714286,0.542293641264083
2,亞菲利歐,凱特琳,3,0.5003,0.47850000000000004,0.4696673189823875,0.49163179916317995,0.5030619188024495
3,亞菲利歐,凱莎,3,0.5344,0.4819,0.47843137254901963,0.49898373983739835,0.5292083110805931
4,亞菲利歐,剎雅,3,0.4938,0.4053,0.4342629482071714,0.4807492195629553,0.5112721021611002
5,亞菲利歐,卡莎碧雅,3,0.4823,0.425,0.4462151394422312,0.48983739837398377,0.5250460631372067
6,亞菲利歐,吉茵珂絲,3,0.48560000000000003,0.49829999999999997,0.4490566037735849,0.4796747967479675,0.5063316735333518
7,亞菲利歐,圖奇,3,0.5307999999999999,0.4618,0.43788187372708753,0.4585798816568047,0.49130716182739304
8,亞菲利歐,好運姐,3,0.4746,0.4607,0.4305555555555555,0.47715736040609136,0.4998591945930724
9,亞菲利歐,寇格魔,3,0.44939999999999997,0.4729,0.46249999999999997,0.4765702891326022,0.4451811873554356
10,亞菲利歐,崔絲塔娜,3,0.5073,0.4286,0.43877551020408156,0.48580121703853957,0.5169984924884338
11,亞菲利歐,希格斯,3,0.469,0.45020000000000004,0.4383561643835617,0.4748663101604278,0.4251712865523264
12,亞菲利歐,希維爾,3,0.5089,0.49520000000000003,0.4465648854961832,0.4812563323201621,0.5160569203403682
13,亞菲利歐,斯溫,3,0.4767,0.34020000000000006,0.3537284894837476,0.4462890625,0.4970905275207479
14,亞菲利歐,星朵拉,3,0.4877,0.4018,0.43722943722943725,0.4890965732087227,0.49373929089231583
15,亞菲利歐,汎,3,0.514,0.5117,0.49787234042553197,0.5088082901554404,0.546800196672101
16,亞菲利歐,法洛士,3,0.4693,0.38170000000000004,0.39462809917355374,0.45137420718816074,0.44997971808133047
17,亞菲利歐,漢默丁格,3,0.4902,0.434,0.42152466367713004,0.4579881656804734,0.46901373895976445
18,亞菲利歐,燼,3,0.47750000000000004,0.43829999999999997,0.398886827458256,0.4703476482617587,0.5072646062224048
19,亞菲利歐,犽宿,3,0.4915,0.4182,0.486784140969163,0.4923234390992835,0.5347757198273507
20,亞菲利歐,艾希,3,0.48810000000000003,0.4664,0.43838383838383843,0.47565922920892495,0.5219394645552525
21,亞菲利歐,茂凱,3,0.44439999999999996,0.4595,0.4491362763915547,0.49360865290068834,0.6065350009749575
22,亞菲利歐,路西恩,3,0.5436,0.4514,0.46680080482897385,0.4933469805527124,0.5299404894189693
23,亞菲利歐,達瑞文,3,0.5031,0.47509999999999997,0.48625792811839313,0.4979338842975206,0.4931762569057289
24,伊澤瑞爾,亞菲利歐,3,0.517,0.5129,0.5679245283018868,0.5118434603501545,0.5299689619496494
25,伊澤瑞爾,伊瑞莉雅,3,0.5679,0.43670000000000003,0.5660377358490567,0.508893280632411,0.5869037449984265
26,伊澤瑞爾,克黎思妲,3,0.5065,0.465,0.5435606060606061,0.5034895314057827,0.5560684610468006
27,伊澤瑞爾,凱特琳,3,0.507,0.4876,0.5359116022099448,0.5063424947145877,0.5339661614872235
28,伊澤瑞爾,凱莎,3,0.5197,0.4747,0.5147058823529412,0.5015259409969481,0.5410620129718632
29,伊澤瑞爾,剎雅,3,0.5145000000000001,0.4698,0.5301645338208409,0.5067497403946002,0.5467281105990783
30,伊澤瑞爾,劫,3,0.4703,0.385,0.451171875,0.47326732673267324,0.45376067798138253
31,伊澤瑞爾,卡莎碧雅,3,0.48460000000000003,0.4968,0.5380333951762523,0.5132653061224489,0.5655339805825242
32,伊澤瑞爾,吉茵珂絲,3,0.5034000000000001,0.5242,0.5333333333333333,0.4974721941354904,0.5447145043833201
33,伊澤瑞爾,圖奇,3,0.5227,0.4371,0.4903846153846154,0.4801192842942346,0.5236133992311917
34,伊澤瑞爾,塔莉雅,3,0.6470999999999999,0.452,0.5150375939849624,0.48750000000000004,0.5195920785375762
35,伊澤瑞爾,好運姐,3,0.5191,0.4852,0.5278810408921933,0.49948400412796695,0.5444771896734646
36,伊澤瑞爾,姍娜,3,0.5241,0.5,0.4787234042553191,0.4696517412935324,0.5859171628134746
37,伊澤瑞爾,威寇茲,3,0.6296,0.5524,0.6203866432337435,0.5049603174603174,0.5458445474229516
38,伊澤瑞爾,寇格魔,3,0.4894,0.4878,0.5454545454545454,0.4985074626865672,0.4912471972517639
39,伊澤瑞爾,崔絲塔娜,3,0.5295000000000001,0.46299999999999997,0.5114942528735632,0.5010224948875256,0.5497535319229228
40,伊澤瑞爾,希格斯,3,0.5,0.4926,0.5316455696202532,0.49947312961011586,0.4831146617717611
41,伊澤瑞爾,希維爾,3,0.489,0.49090000000000006,0.50177304964539,0.4934010152284264,0.5301052243788998
42,伊澤瑞爾,庫奇,3,0.6423000000000001,0.4858,0.6065292096219931,0.5233739837398373,0.5489703880190606
43,伊澤瑞爾,弗拉迪米爾,3,0.5688000000000001,0.5918,0.5838383838383838,0.5166487647690655,0.5833315246880086
44,伊澤瑞爾,斯溫,3,0.5319,0.4288,0.4889705882352942,0.49463414634146347,0.5584031970809261
45,伊澤瑞爾,星朵拉,3,0.4962,0.4241,0.5080645161290323,0.5016077170418006,0.5224763044078402
46,伊澤瑞爾,汎,3,0.4954,0.4865,0.5352941176470588,0.5112936344969199,0.5514261627090066
