,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate,result
0,0.5246000000000001,0.4833,0.5472972972972974,0.49007444168734493,0.4533862208497498,0.4549,0.44901315789473684,0.5064935064935064,0.5520709050622123,0.5619,0.72,0.48586572438162545,0.4825174825174825,0.5593800887191869,0.4933,0.4046,0.4664031620553359,0.4703389830508474,0.4827031375703942,0.5395000000000001,0.6651,0.6550802139037434,0.5251716247139587,1.0
1,0.5135000000000001,0.4672,0.5099502487562189,0.4904076738609112,0.4736229334299242,0.5231,0.47572815533980584,0.48137535816618915,0.5553841298783267,0.4675,0.7481,0.49087591240875905,0.5067961165048543,0.5670594759462082,0.4979,0.4722,0.5057251908396946,0.49476987447698745,0.5369145469578328,0.5287,0.47090000000000004,0.4794007490636704,0.4753363228699552,1.0
2,0.4571,0.4254,0.5,0.4811443433029909,0.4568226935534427,0.4864,0.4369747899159664,0.49603174603174605,0.6294258552286848,0.522,0.23379999999999998,0.44097222222222227,0.4673913043478261,0.43921123563626047,0.5103,0.5062,0.5596868884540118,0.5110178384050367,0.5316776119402985,0.46909999999999996,0.5111,0.3929173693086004,0.5041716328963051,0.0
3,0.4747,0.4495,0.5063938618925831,0.5383631713554987,0.605429580674567,0.4167,0.40938166311300644,0.48879837067209775,0.5170043415340086,0.4796,0.5132,0.521484375,0.49252136752136755,0.4870532848277338,0.5103,0.5062,0.5596868884540118,0.5110178384050367,0.5316776119402985,0.4975,0.4849,0.5281124497991967,0.523489932885906,1.0
4,0.4523,0.4824,0.46742209631728043,0.5091863517060368,0.5031889099725911,0.5037,0.5394190871369294,0.5015075376884423,0.5122354188098133,0.5449,0.2421,0.579047619047619,0.5194672131147542,0.4117892047978676,0.4897,0.4938,0.4403131115459883,0.4889821615949632,0.4683223880597015,0.4621,0.4293,0.4853801169590643,0.47835497835497837,1.0
5,0.4877,0.5317000000000001,0.4787234042553192,0.5,0.5137322662786468,0.49710000000000004,0.5087378640776699,0.5163204747774481,0.5044661707863709,0.47619999999999996,0.6311,0.5239085239085238,0.5323435843054083,0.4693252279635258,0.4253,0.2841,0.38427947598253276,0.4657980456026059,0.4669948595207659,0.511,0.6666,0.4744094488188977,0.45625,1.0
6,0.43700000000000006,0.43479999999999996,0.47611202635914335,0.526372443487621,0.49969635068735163,0.4968,0.5546875000000001,0.5109628217349856,0.4433127506524922,0.5021,0.49219999999999997,0.48983739837398377,0.4844919786096256,0.4979266116977675,0.5224,0.5413,0.5647773279352227,0.5201238390092879,0.5014788483976881,0.5152,0.5566,0.39728096676737157,0.4908306364617044,0.0
7,0.5125,0.5727,0.5691056910569106,0.5117801047120418,0.4402573050679723,0.451,0.41482965931863724,0.4841897233201581,0.5146082337317397,0.455,0.5794,0.5,0.4916748285994124,0.47198729975465437,0.4897,0.4938,0.4403131115459883,0.4889821615949632,0.4683223880597015,0.5455,0.5807,0.3908227848101266,0.48953140578265203,0.0
8,0.5127,0.4772,0.4713896457765668,0.49292149292149295,0.537410858063032,0.507,0.5032258064516129,0.5019417475728155,0.5143431284037627,0.4712,0.5445,0.4516129032258065,0.4755600814663951,0.5178381121542756,0.436,0.4548,0.4932821497120921,0.5073839662447257,0.5550202535893195,0.5295000000000001,0.5487,0.5567226890756303,0.5307781649245065,1.0
9,0.46299999999999997,0.48210000000000003,0.4911242603550296,0.4687915006640106,0.403413437442296,0.5216,0.5258964143426296,0.5054294175715696,0.5700893312047824,0.4058,0.5556,0.45229681978798586,0.4565677966101695,0.4730883562077035,0.506,0.5499,0.4728682170542635,0.5010060362173038,0.4455957280031354,0.45630000000000004,0.6315999999999999,0.406813627254509,0.4445585215605749,0.0
10,0.44439999999999996,0.43079999999999996,0.5380577427821522,0.52023988005997,0.47106058555510444,0.5102,0.4990366088631985,0.4952741020793951,0.543635291516179,0.4286,0.5283,0.34054054054054056,0.4891089108910891,0.5397204311660186,0.5224,0.5413,0.5647773279352227,0.5201238390092879,0.5014788483976881,0.5246000000000001,0.48729999999999996,0.5656934306569342,0.48668796592119273,0.0
11,0.4747,0.48229999999999995,0.5187032418952618,0.5,0.4576392521820535,0.4968,0.5546875000000001,0.5109628217349856,0.4433127506524922,0.43810000000000004,0.28,0.5141342756183745,0.5174825174825175,0.44061991128081307,0.5104,0.46,0.502868068833652,0.4989669421487603,0.5365330537152662,0.5433,0.5125,0.5243243243243243,0.5044843049327354,1.0
