,result,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate
0,1,0.4839,0.42479999999999996,0.512,0.5106117353308365,0.4860978754414485,0.4936,0.5,0.502,0.46953000531067446,0.4822,0.40340000000000004,0.5144404332129964,0.5056294779938588,0.4700485289657264,0.5452,0.491,0.5290697674418604,0.5174537987679672,0.5168591224018476,0.4953,0.5811999999999999,0.4474637681159421,0.47635933806146574
1,1,0.5004,0.5537,0.48704663212435234,0.48333333333333334,0.516382219179422,0.5022,0.500998003992016,0.5071283095723015,0.4870032601991365,0.5472,0.456,0.5448717948717948,0.5269396551724138,0.5718290988487496,0.5039,0.5892000000000001,0.5274509803921569,0.5257623554153523,0.5121266926358746,0.4974,0.4919,0.48046875,0.47535596933187296
2,1,0.5082,0.6198,0.5896226415094339,0.5207317073170732,0.515644838190898,0.5095000000000001,0.5244897959183673,0.5187007874015749,0.44770861833105335,0.5096,0.8270000000000001,0.5363984674329502,0.49737670514165794,0.42653260531806275,0.47740000000000005,0.5394,0.4813432835820896,0.49478079331941544,0.4563545696043249,0.47340000000000004,0.4532,0.4087301587301587,0.48156424581005586
3,0,0.5185000000000001,0.33759999999999996,0.41141732283464566,0.4858611825192802,0.595480605025616,0.5418000000000001,0.5155925155925155,0.5070850202429149,0.48066372273518,0.5668,0.5507,0.5433403805496828,0.4848484848484848,0.5014825417923419,0.5023,0.46630000000000005,0.4801587301587301,0.49074074074074076,0.4633834836138854,0.5444,0.3788,0.502803738317757,0.5303347280334728
4,0,0.4891,0.5282,0.5517826825127334,0.5326797385620915,0.5032180973847867,0.49570000000000003,0.4652173913043479,0.5106167846309403,0.49302259079210753,0.5626,0.5275,0.502212389380531,0.49376299376299376,0.5426468814090963,0.4961,0.4108,0.4725490196078432,0.4742376445846478,0.4878733073641254,0.5127,0.45880000000000004,0.49665551839464883,0.5077288941736029
5,1,0.5132,0.4671,0.3705357142857143,0.4544303797468354,0.5670384337639413,0.5121,0.5178197064989518,0.5200803212851406,0.49753028157936136,0.5359,0.5679,0.5809128630705394,0.5192096597145993,0.4568430070678946,0.5172,0.508,0.5631067961165048,0.5140771637122001,0.5309301395326949,0.5133,0.5176,0.47695390781563124,0.4750830564784053
6,0,0.5,0.6364,0.3686440677966102,0.4367509986684421,0.5059853615158355,0.5418000000000001,0.5155925155925155,0.5070850202429149,0.48066372273518,0.4511,0.4337,0.5144312393887945,0.5306324110671937,0.556449097794609,0.5081,0.4428,0.3910386965376782,0.45756097560975606,0.49230589061951047,0.4955,0.532,0.4685314685314685,0.5034562211981567
7,0,0.5375,0.3636,0.6311787072243346,0.5203045685279188,0.5043112641296731,0.5357999999999999,0.5306553911205073,0.4662756598240469,0.4216813001165917,0.5046,0.32899999999999996,0.6090373280943026,0.5324267782426778,0.4824142991927875,0.4878,0.46490000000000004,0.4971857410881801,0.48762886597938143,0.5297369424323294,0.4671,0.49329999999999996,0.505307855626327,0.51145958986731
8,0,0.4975,0.4965,0.5216284987277353,0.49649532710280375,0.4435074999343263,0.43460000000000004,0.48296593186372744,0.4931362196409715,0.4616759776536313,0.4894,0.45,0.5018450184501846,0.48929663608562696,0.4266148958701024,0.49770000000000003,0.5337,0.5198412698412699,0.5092592592592592,0.5366165163861146,0.45990000000000003,0.5129,0.48114901256732495,0.5130237825594564
9,0,0.44700000000000006,0.3126,0.3582474226804124,0.455012853470437,0.47662093862815885,0.5341,0.5233265720081136,0.5335968379446641,0.5542059909725072,0.4601,0.5055,0.533718689788054,0.4949832775919733,0.3865888421338401,0.49770000000000003,0.5337,0.5198412698412699,0.5092592592592592,0.5366165163861146,0.4907,0.5118,0.5407725321888411,0.5039281705948373
